respondent_id,business_name_clean,canonical_email,email_hash,region,business_size,employee_count,annual_revenue_band,years_in_operation,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,pricing_maturity_latent,in_pricing_diagnostic_clean,in_benchmark_clean,true_overlap_flag
NNEP-R0001,Lakeside Digitizing,office@lakesidedigitizing.example,emh_d7cb2e9bea,Northeast,Solo owner/operator,1,$50k-$100k,4,1,Custom embroidery,Mixed,Stitch-count based,Annually,0.3602,True,False,False
NNEP-R0002,Heritage Customs Group,owner@heritagecustomsgroup.example,emh_b9fe4813af,Northeast,11-25 employees,22,$250k-$500k,27,12,Custom embroidery,Mostly consumers,Hybrid/job costing,Quarterly,0.99,True,False,False
NNEP-R0003,Lakeside Designs Studio,hello@lakesidedesignsstudio.example,emh_68135d0519,South,2-5 employees,2,$500k-$1M,20,3,Custom embroidery,Mostly consumers,Value-based,Before every quote,0.99,True,True,True
NNEP-R0004,Hoop Monograms Collective,office4@hoopmonogramscollectiv.example,emh_326e4257de,West,2-5 employees,5,$50k-$100k,8,2,Custom embroidery,Contract/B2B,Stitch-count based,When costs change,0.2927,True,True,True
NNEP-R0005,Lakeside Creative Studio,owner@lakesidecreativestudio.example,emh_44f2e11306,Northeast,6-10 employees,9,$1M+,10,3,Promotional products,Schools/teams,Value-based,When costs change,0.4864,True,False,False
NNEP-R0006,Oak Embroidery Collective,contact6@oakembroiderycollectiv.example,emh_c98f1c6634,Midwest,Solo owner/operator,1,$100k-$250k,7,4,Decorated apparel,Schools/teams,Stitch-count based,Before every quote,0.788,True,False,False
NNEP-R0007,Iron Apparel Group,hello0@ironapparelgroup.example,emh_dd980b4007,Northeast,11-25 employees,14,$500k-$1M,26,12,Promotional products,Small business/local orgs,Cost-plus,Annually,0.99,True,True,True
NNEP-R0008,Summit Logo Shop,quotes1@summitlogoshop.example,emh_3f27d66ca3,South,2-5 employees,5,$50k-$100k,7,3,Mixed services,Mostly consumers,Cost-plus,When costs change,0.7219,True,False,False
NNEP-R0009,Blue Ridge Logo Shop Studio,owner@blueridgelogoshopstudi.example,emh_84364d9d94,West,6-10 employees,8,$1M+,26,3,Custom embroidery,Mixed,Hybrid/job costing,Quarterly,0.8794,True,False,False
NNEP-R0010,Sunrise Threads Group,info@sunrisethreadsgroup.example,emh_a64d27bcc7,Northeast,6-10 employees,10,$250k-$500k,14,2,Custom embroidery,Corporate/commercial,Value-based,Quarterly,0.9257,True,False,False
NNEP-R0011,Stitch Designs Collective,office@stitchdesignscollectiv.example,emh_db72b618ae,Northeast,26+ employees,73,$500k-$1M,28,20,Custom embroidery,Corporate/commercial,Hybrid/job costing,When costs change,0.99,True,False,False
NNEP-R0012,Silver Decorated Goods Collective,hello@silverdecoratedgoodsco.example,emh_21d189b990,Midwest,Solo owner/operator,1,$100k-$250k,8,1,Decorated apparel,Mostly consumers,Informal/custom quote,Rarely/never,0.02,True,False,False
NNEP-R0013,Lucky Needleworks Studio,contact@luckyneedleworksstudio.example,emh_119ed13e71,West,2-5 employees,4,Under $50k,8,3,Custom embroidery,Mostly consumers,Stitch-count based,Annually,0.9755,True,False,False
NNEP-R0014,Heritage Branding Shop,hello0@heritagebrandingshop.example,emh_b82a111b7a,Northeast,11-25 employees,13,$1M+,2,10,Contract embroidery,Small business/local orgs,Informal/custom quote,Annually,0.4131,True,True,True
NNEP-R0015,Cedar Monograms LLC,sales@cedarmonogramsllc.example,emh_364905e785,South,2-5 employees,5,$1M+,6,2,Custom embroidery,Mixed,Hybrid/job costing,When costs change,0.3562,True,True,True
NNEP-R0016,Bobbin Monograms Group,sales@bobbinmonogramsgroup.example,emh_977d05939a,Midwest,Solo owner/operator,1,$100k-$250k,1,1,Custom embroidery,Mixed,Hybrid/job costing,Quarterly,0.7493,False,True,False
NNEP-R0017,Prairie Logo Shop Studio,quotes3@prairielogoshopstudio.example,emh_3b9c3f210f,Midwest,Solo owner/operator,1,$100k-$250k,21,1,Mixed services,Small business/local orgs,Stitch-count based,When costs change,0.7556,True,False,False
NNEP-R0018,Heritage Designs Group,hello@heritagedesignsgroup.example,emh_4d1549de09,Northeast,Solo owner/operator,1,$50k-$100k,10,3,Contract embroidery,Schools/teams,Cost-plus,Annually,0.3895,True,False,False
NNEP-R0019,Silver Digitizing,sales@silverdigitizing.example,emh_fe6ed00eba,South,2-5 employees,4,Under $50k,13,1,Mixed services,Mostly consumers,Informal/custom quote,Annually,0.1461,True,False,False
NNEP-R0020,Hoop Customs,office@hoopcustoms.example,emh_9ae713bc9f,South,6-10 employees,9,$50k-$100k,14,5,Mixed services,Mostly consumers,Stitch-count based,Annually,0.6553,True,True,True
