canonical_email,business_name_clean_diag,region_diag,business_size_diag,annual_revenue_band_diag,years_in_operation_diag,years_in_operation_band,machine_count_diag,primary_business_model_diag,customer_mix,current_pricing_method,price_review_frequency_diag,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment,business_name_clean_bench,region_bench,business_size_bench,annual_revenue_band_bench,years_in_operation_bench,machine_count_bench,primary_business_model_bench,primary_pricing_method,hourly_rate_estimate_usd,stitch_rate_per_1000,minimum_order_quantity,minimum_job_charge_usd,charges_setup_fee,setup_fee_policy,charges_rush_fee,rush_fee_policy,discounting_frequency,price_review_frequency_bench,confidence_score_1_5,pricing_confidence_level,perceived_profitability,plans_price_increase_2026,Benchmark open comment
info1@oakstitchcocompany.example,Oak Stitch Co. Company,West,2-5 employees,Unknown,1,<2,2,Custom embroidery,Mixed,Unknown,Before every quote,2,3,2,3,3,13,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,1,1,2,1,1,1,1,2,2,1,2-5 employees,Unknown,Newcomer (0-3 yrs),Unknown,Mixed,Production Cost,West,Oak Stitch Co. Company,West,2-5 employees,$100k-$250k,1.0,2.0,Custom embroidery,Unknown,118.0,,,100.0,True,Always/standard,True,Published percentage/flat fee,Rarely,Before every quote,3.0,Somewhat confident,Very strong,False,
owner@oaklogoshopllc1487.example,Oak Logo Shop Llc #1487,Northeast,2-5 employees,Prefer not to say,16,11-20,8,Contract embroidery,Mixed,Competitor-based,Annually,3,2,3,3,3,14,Partial Pricing System,False,False,False,False,,1,2,1,1,2,1,2,1,1,2,2-5 employees,Unknown,Veteran (11-20),Competitor-based,Mixed,Real Labor,Northeast,Oak Logo Shop Llc #1487,Northeast,2-5 employees,$500k-$1M,16.0,8.0,Contract embroidery,Competitor-based,,1.7,36.0,,True,Sometimes/depends,False,Case-by-case,Frequently,Annually,3.0,Somewhat confident,Good,False,
info@oakwearablesllc1377.example,Oak Wearables Llc #1377,Midwest,6-10 employees,$250k-$500k,20,11-20,4,Decorated apparel,Mostly consumers,Informal/custom quote,Annually,4,4,3,4,4,19,Strong Pricing System,True,False,False,False,,2,2,2,2,2,1,2,2,2,2,6-10 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,Consumer,Intended Profit,Midwest,Oak Wearables Llc #1377,Midwest,6-10 employees,$250k-$500k,23.0,4.0,Decorated apparel,Value-based,126.0,1.7,6.0,,True,Always/standard,True,Published percentage/flat fee,Rarely,Annually,5.0,Very confident,Very strong,False,We need a better price sheet.
quotes1@mainstreetthreadsstudi.example,Main Street Threads Studio,Northeast,2-5 employees,$250k-$500k,12,11-20,3,Custom embroidery,Mostly consumers,Stitch-count based,Annually,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,2,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Consumer,Real Labor,Northeast,Main Street Threads Studio,Northeast,2-5 employees,Unknown,12.0,3.0,Custom embroidery,Stitch-count based,115.0,1.88,,150.0,False,No,False,No,Sometimes,Annually,3.0,Somewhat confident,Acceptable,False,
info@bobbinbrandingcollecti.example,Bobbin Branding Collective #1682,West,Solo owner/operator,$50k-$100k,9,6-10,1,Custom embroidery,Small business/local orgs,Cost-plus,Quarterly,3,4,4,4,3,18,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,1,2,2,2,2,2,2,1,2,Solo owner/operator,Under $100k,Established (4-10),Cost-plus,Mixed,Production Cost,West,Bobbin Branding Collective #1682,West,Unknown,$50k-$100k,9.0,1.0,Custom embroidery,Cost-plus,112.0,2.1,,50.0,True,Always/standard,True,Published percentage/flat fee,Sometimes,Quarterly,4.0,Confident,Struggling,True,Minimums changed everything for us.
office@heritageneedleworkscom.example,Heritage Needleworks Company,Midwest,Solo owner/operator,$250k-$500k,0,<2,2,Custom embroidery,Small business/local orgs,Competitor-based,Unknown,1,0,1,0,0,2,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,0,1,0,0,1,0,0,0,0,0,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Competitor-based,Mixed,Real Labor,Midwest,Heritage Needleworks Company,Midwest,Solo owner/operator,$250k-$500k,0.0,2.0,Custom embroidery,Competitor-based,51.0,1.16,,25.0,True,Sometimes/depends,False,Case-by-case,Never,Unknown,1.0,Not confident,Good,False,Minimums changed everything for us.
hello@riverdigitizingllc.example,River Digitizing Llc,Unknown,2-5 employees,$100k-$250k,15,11-20,10,Decorated apparel,Mostly consumers,Unknown,Quarterly,3,3,4,3,4,17,Strong Pricing System,True,False,False,False,,1,2,2,1,2,2,2,1,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Consumer,Production Cost,Unknown,River Digitizing Llc,Northeast,2-5 employees,Prefer not to say,15.0,10.0,Decorated apparel,Unknown,160.0,1.08,,,True,Always/standard,True,Published percentage/flat fee,Sometimes,Quarterly,5.0,Very confident,Good,False,Minimums changed everything for us.
hello4@heritagethreads1585.example,Heritage Threads #1585,Midwest,Solo owner/operator,$50k-$100k,2,2-5,1,Mixed services,Mixed,Hybrid/job costing,Annually,2,3,3,2,2,12,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,1,1,1,2,2,1,1,1,1,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Hybrid/job costing,Mixed,Production Cost,Midwest,Heritage Threads #1585,Midwest,Solo owner/operator,$50k-$100k,2.0,1.0,Mixed services,Cost-plus,104.0,1.32,12.0,,False,No,True,Published percentage/flat fee,Rarely,Annually,2.0,Slightly confident,Acceptable,False,
quotes@stitchdesignscompany16.example,Stitch Designs Company #1658,Midwest,Unknown,$100k-$250k,20,11-20,3,Contract embroidery,Schools/teams,Hybrid/job costing,Unknown,2,1,2,2,1,8,Partial Pricing System,False,True,False,False,Rush jobs are where we get into trouble.,1,1,0,1,1,1,1,1,1,0,Unknown,$100k-$500k,Veteran (11-20),Hybrid/job costing,Mixed,Real Labor,Midwest,Stitch Designs Company #1658,Midwest,Solo owner/operator,$100k-$250k,24.0,3.0,Contract embroidery,Stitch-count based,109.0,1.32,1.0,,True,Always/standard,False,No,Frequently,Unknown,4.0,Confident,Acceptable,False,I worry about losing repeat customers.
sales@cedarmonogramsllc.example,Cedar Monograms Llc,South,2-5 employees,$500k-$1M,6,6-10,2,Custom embroidery,Mixed,Cost-plus,When costs change,1,1,2,0,0,4,Pricing Blind Spots,False,True,False,True,Most customers compare us by stitch count.,1,0,0,1,1,1,0,0,0,0,2-5 employees,$500k+,Established (4-10),Cost-plus,Mixed,Capacity Pressure,South,Cedar Monograms Llc,South,2-5 employees,$500k-$1M,6.0,2.0,Custom embroidery,Hybrid/job costing,84.0,0.99,,,False,No,False,No,Rarely,When costs change,1.0,Not confident,Good,False,We need a better price sheet.
