diagnostic_response_id,respondent_id,canonical_email,email_hash,source_row_id,submitted_at,business_name_clean,region,business_size,employee_count_band,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag
PD-2026-0001,NNEP-R0001,office@lakesidedigitizing.example,emh_d7cb2e9bea,R_PD_000001,2026-03-18T11:51:35Z,Lakeside Digitizing,Northeast,Solo owner/operator,Solo owner/operator,$50k-$100k,4,2-5,1,Custom embroidery,Mixed,Stitch-count based,Annually,2,1,1,1,1,1,0,0,1,0,3,2,2,0,1,8,Partial Pricing System,False,False,False,True
PD-2026-0002,NNEP-R0002,owner@heritagecustomsgroup.example,emh_b9fe4813af,R_PD_000002,2026-02-08T18:27:58Z,Heritage Customs Group,Northeast,11-25 employees,11-25 employees,$250k-$500k,27,21+,12,Custom embroidery,Mostly consumers,Hybrid/job costing,Quarterly,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,20,Strong Pricing System,True,False,False,False
PD-2026-0003,NNEP-R0003,hello@lakesidedesignsstudio.example,emh_68135d0519,R_PD_000003,2026-05-10T22:26:54Z,Lakeside Designs Studio,South,2-5 employees,2-5 employees,$500k-$1M,20,11-20,3,Custom embroidery,Mostly consumers,Value-based,Before every quote,2,2,1,1,2,2,2,2,2,2,4,2,4,4,4,18,Strong Pricing System,True,False,False,False
PD-2026-0004,NNEP-R0004,office4@hoopmonogramscollectiv.example,emh_326e4257de,R_PD_000004,2026-04-13T16:41:22Z,Hoop Monograms Collective,West,2-5 employees,2-5 employees,$50k-$100k,8,6-10,2,Custom embroidery,Contract/B2B,Stitch-count based,When costs change,1,1,1,1,1,0,0,0,1,0,2,2,1,0,1,6,Pricing Blind Spots,False,False,True,True
PD-2026-0005,NNEP-R0005,owner@lakesidecreativestudio.example,emh_44f2e11306,R_PD_000005,2026-02-12T01:20:03Z,Lakeside Creative Studio,Northeast,6-10 employees,6-10 employees,$1M+,10,6-10,3,Promotional products,Schools/teams,Value-based,When costs change,1,1,1,1,0,1,1,1,1,1,2,2,1,2,2,9,Partial Pricing System,True,False,True,False
PD-2026-0006,NNEP-R0006,contact6@oakembroiderycollectiv.example,emh_c98f1c6634,R_PD_000006,2026-03-20T18:36:57Z,Oak Embroidery Collective,Midwest,Solo owner/operator,Solo owner/operator,$100k-$250k,7,6-10,4,Decorated apparel,Schools/teams,Stitch-count based,Before every quote,1,2,1,2,1,2,1,2,1,1,3,3,3,3,2,14,Partial Pricing System,False,False,False,False
PD-2026-0007,NNEP-R0007,hello0@ironapparelgroup.example,emh_dd980b4007,R_PD_000007,2026-04-21T16:18:57Z,Iron Apparel Group,Northeast,11-25 employees,11-25 employees,$500k-$1M,26,21+,12,Promotional products,Small business/local orgs,Cost-plus,Annually,2,2,2,1,2,2,2,1,2,2,4,3,4,3,4,18,Strong Pricing System,True,False,False,False
PD-2026-0008,NNEP-R0008,quotes1@summitlogoshop.example,emh_3f27d66ca3,R_PD_000008,2026-05-02T09:49:49Z,Summit Logo Shop,South,2-5 employees,2-5 employees,$50k-$100k,7,6-10,3,Mixed services,Mostly consumers,Cost-plus,When costs change,2,2,1,2,1,1,1,1,2,2,4,3,2,2,4,15,Partial Pricing System,True,False,False,False
PD-2026-0009,NNEP-R0009,owner@blueridgelogoshopstudi.example,emh_84364d9d94,R_PD_000009,2026-05-31T10:58:08Z,Blue Ridge Logo Shop Studio,West,6-10 employees,6-10 employees,$1M+,26,21+,3,Custom embroidery,Mixed,Hybrid/job costing,Quarterly,2,2,2,2,2,1,2,1,1,2,4,4,3,3,3,17,Strong Pricing System,True,False,False,False
PD-2026-0010,NNEP-R0010,info@sunrisethreadsgroup.example,emh_a64d27bcc7,R_PD_000010,2026-05-22T13:55:50Z,Sunrise Threads Group,Northeast,6-10 employees,6-10 employees,$250k-$500k,14,11-20,2,Custom embroidery,Corporate/commercial,Value-based,Quarterly,2,2,2,1,2,2,2,1,1,2,4,3,4,3,3,17,Strong Pricing System,True,False,False,False
