canonical_email,business_name_clean,region,business_size,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment
sales@mainstreetneedleworksg.example,Main Street Needleworks Group,West,Solo owner/operator,Under $50k,0,<2,1,Custom embroidery,Small business/local orgs,Informal/custom quote,Annually,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,0,1,0,0,0,0,0,0,0,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Real Labor,West
info1@oakstitchcocompany.example,Oak Stitch Co. Company,West,2-5 employees,Unknown,1,<2,2,Custom embroidery,Mixed,Unknown,Before every quote,2,3,2,3,3,13,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,1,1,2,1,1,1,1,2,2,1,2-5 employees,Unknown,Newcomer (0-3 yrs),Unknown,Mixed,Production Cost,West
owner@oaklogoshopllc1487.example,Oak Logo Shop Llc #1487,Northeast,2-5 employees,Prefer not to say,16,11-20,8,Contract embroidery,Mixed,Competitor-based,Annually,3,2,3,3,3,14,Partial Pricing System,False,False,False,False,,1,2,1,1,2,1,2,1,1,2,2-5 employees,Unknown,Veteran (11-20),Competitor-based,Mixed,Real Labor,Northeast
info@magnoliadecoratedgoods.example,Magnolia Decorated Goods Shop #1599,West,6-10 employees,$250k-$500k,9,6-10,2,Custom embroidery,Small business/local orgs,Cost-plus,Annually,4,4,2,2,3,15,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,1,1,1,1,1,2,6-10 employees,$100k-$500k,Established (4-10),Cost-plus,Mixed,Intended Profit,West
sales@bobbinmonograms1491.example,Bobbin Monograms #1491,Midwest,2-5 employees,$50k-$100k,7,6-10,3,Team/school spiritwear,Mixed,Competitor-based,Quarterly,3,2,2,2,3,12,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,1,2,1,1,1,1,1,1,2,1,2-5 employees,Under $100k,Established (4-10),Competitor-based,Mixed,Real Labor,Midwest
office@threaddesigns1577.example,Thread Designs #1577,Midwest,Solo owner/operator,$50k-$100k,9,6-10,3,Mixed services,Small business/local orgs,Unknown,When costs change,3,2,2,1,2,10,Partial Pricing System,False,False,False,True,Most customers compare us by stitch count.,2,1,1,1,1,1,0,1,1,1,Solo owner/operator,Under $100k,Established (4-10),Unknown,Mixed,Capacity Pressure,Midwest
hello3@goldencreativestudio.example,Golden Creative Studio,South,2-5 employees,$100k-$250k,8,6-10,2,Decorated apparel,Corporate/commercial,Competitor-based,Rarely/never,2,0,0,1,1,4,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,1,1,0,0,0,0,1,0,0,1,2-5 employees,$100k-$500k,Established (4-10),Competitor-based,B2B,Real Labor,South
info@oakwearablesllc1377.example,Oak Wearables Llc #1377,Midwest,6-10 employees,$250k-$500k,20,11-20,4,Decorated apparel,Mostly consumers,Informal/custom quote,Annually,4,4,3,4,4,19,Strong Pricing System,True,False,False,False,,2,2,2,2,2,1,2,2,2,2,6-10 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,Consumer,Intended Profit,Midwest
contact@mapleneedleworkscompan.example,Maple Needleworks Company,Northeast,6-10 employees,$100k-$250k,2,2-5,5,Mixed services,Mostly consumers,Unknown,Rarely/never,2,2,0,0,1,5,Pricing Blind Spots,False,False,True,True,Rush jobs are where we get into trouble.,1,1,1,1,0,0,0,0,1,0,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Unknown,Consumer,Intended Profit,Northeast
sales@pinecreative.example,Pine Creative,South,2-5 employees,Prefer not to say,0,<2,6,Promotional products,Small business/local orgs,Value-based,When costs change,3,4,3,2,3,15,Strong Pricing System,True,False,False,False,,1,2,2,2,2,1,1,1,2,1,2-5 employees,Unknown,Newcomer (0-3 yrs),Value-based,Mixed,Capacity Pressure,South
