audit_id,dataset,raw_response_id,issue_type,cleaning_action,rationale
AUD-D-16,Pricing Diagnostic,R_PD_000017,clean,Excluded,Filtered during cleaning
AUD-D-60,Pricing Diagnostic,R_PD_000061,clean,Excluded,Filtered during cleaning
AUD-D-77,Pricing Diagnostic,R_PD_000078,clean,Excluded,Filtered during cleaning
AUD-D-121,Pricing Diagnostic,R_PD_000122,clean,Excluded,Filtered during cleaning
AUD-D-171,Pricing Diagnostic,R_PD_000172,clean,Excluded,Filtered during cleaning
AUD-D-207,Pricing Diagnostic,R_PD_000208,clean,Excluded,Filtered during cleaning
AUD-D-217,Pricing Diagnostic,R_PD_000218,clean,Excluded,Filtered during cleaning
AUD-D-262,Pricing Diagnostic,R_PD_000263,clean,Excluded,Filtered during cleaning
AUD-D-303,Pricing Diagnostic,R_PD_000304,clean,Excluded,Filtered during cleaning
AUD-D-335,Pricing Diagnostic,R_PD_000336,clean,Excluded,Filtered during cleaning
AUD-D-421,Pricing Diagnostic,R_PD_000422,clean,Excluded,Filtered during cleaning
AUD-D-425,Pricing Diagnostic,R_PD_000426,clean,Excluded,Filtered during cleaning
AUD-D-441,Pricing Diagnostic,R_PD_000442,clean,Excluded,Filtered during cleaning
AUD-D-464,Pricing Diagnostic,R_PD_000465,clean,Excluded,Filtered during cleaning
AUD-D-513,Pricing Diagnostic,R_PD_000514,clean,Excluded,Filtered during cleaning
AUD-D-588,Pricing Diagnostic,R_PD_000589,clean,Excluded,Filtered during cleaning
AUD-D-592,Pricing Diagnostic,R_PD_000593,clean,Excluded,Filtered during cleaning
AUD-D-632,Pricing Diagnostic,R_PD_000633,clean,Excluded,Filtered during cleaning
AUD-D-640,Pricing Diagnostic,R_PD_000641,clean,Excluded,Filtered during cleaning
AUD-D-656,Pricing Diagnostic,R_PD_000657,clean,Excluded,Filtered during cleaning
AUD-D-668,Pricing Diagnostic,R_PD_000669,clean,Excluded,Filtered during cleaning
AUD-D-680,Pricing Diagnostic,R_PD_000681,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-681,Pricing Diagnostic,R_PD_000682,duplicate_complete,Excluded,Filtered during cleaning
AUD-D-682,Pricing Diagnostic,R_PD_000683,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-683,Pricing Diagnostic,R_PD_000684,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-684,Pricing Diagnostic,R_PD_000685,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-685,Pricing Diagnostic,R_PD_000686,duplicate_complete,Excluded,Filtered during cleaning
AUD-D-686,Pricing Diagnostic,R_PD_000687,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-687,Pricing Diagnostic,R_PD_000688,duplicate_complete,Excluded,Filtered during cleaning
AUD-D-688,Pricing Diagnostic,R_PD_000689,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-689,Pricing Diagnostic,R_PD_000690,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-690,Pricing Diagnostic,R_PD_000691,duplicate_complete,Excluded,Filtered during cleaning
AUD-D-691,Pricing Diagnostic,R_PD_000692,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-692,Pricing Diagnostic,R_PD_000693,duplicate_complete,Excluded,Filtered during cleaning
AUD-D-693,Pricing Diagnostic,R_PD_000694,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-694,Pricing Diagnostic,R_PD_000695,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-695,Pricing Diagnostic,R_PD_000696,duplicate_complete,Excluded,Filtered during cleaning
AUD-D-697,Pricing Diagnostic,R_PD_000698,duplicate_partial,Excluded,Filtered during cleaning
