question_id,raw_export_column,clean_score_column,pricing_driver,scoring_scale,score_0_examples,score_1_examples,score_2_examples,generation_note
Q1,Q1: Calculate production/material cost before quoting,q1_score,Production Cost,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
Q2,"Q2: Include thread, stabilizer, waste, and overhead in price",q2_score,Production Cost,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
Q3,Q3: Track hands-on embroidery labor time,q3_score,Real Labor,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
Q4,"Q4: Include admin, artwork, proofing, and customer time",q4_score,Real Labor,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
Q5,Q5: Set intended profit target before pricing,q5_score,Intended Profit,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
Q6,Q6: Review margin after job completion,q6_score,Intended Profit,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
Q7,Q7: Adjust pricing for rush work or full schedule,q7_score,Capacity Pressure,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
Q8,Q8: Use capacity/backlog pressure in pricing decisions,q8_score,Capacity Pressure,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
Q9,"Q9: Consider customer value/use case, not only stitch count",q9_score,End Customer Value,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
Q10,Q10: Can explain price based on value delivered,q10_score,End Customer Value,0=weak/no system; 1=partial/inconsistent; 2=strong/documented,No; Not really; I usually guess; No consistent process,Sometimes; For larger jobs only; Partially; Rough estimate,"Yes; Always; Yes, documented; Built into our quote process",Raw answer labels are mapped to 0-2 scoring during cleaning.
