respondent_id,canonical_email,email_hash,business_name_clean,region,business_size,years_in_operation,machine_count,current_pricing_method,diagnostic_total_score,pricing_maturity_tier,lowest_driver,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,confidence_score_1_5,pricing_confidence_level,confidence_alignment,charges_setup_fee,charges_rush_fee,uses_tiered_pricing,discounting_frequency,perceived_profitability,plans_price_increase_2026,overlap_join_quality,diagnostic_source_row_id,benchmark_source_row_id
NNEP-R0003,hello@lakesidedesignsstudio.example,emh_68135d0519,Lakeside Designs Studio,South,2-5 employees,20,3,Value-based,18,Strong Pricing System,Real Labor,4,2,4,4,4,5,Very confident,Broadly aligned,False,True,True,Rarely,Variable,False,exact_raw_email_match,R_PD_000003,R_BM_000001
NNEP-R0004,office4@hoopmonogramscollectiv.example,emh_326e4257de,Hoop Monograms Collective,West,2-5 employees,8,2,Stitch-count based,6,Pricing Blind Spots,Capacity Pressure,2,2,1,0,1,2,Slightly confident,Broadly aligned,True,True,True,Sometimes,Struggling,True,exact_raw_email_match,R_PD_000004,R_BM_000002
NNEP-R0007,hello0@ironapparelgroup.example,emh_dd980b4007,Iron Apparel Group,Northeast,11-25 employees,26,12,Cost-plus,18,Strong Pricing System,Real Labor,4,3,4,3,4,2,Slightly confident,Underconfident relative to diagnostic,False,True,True,Rarely,Good,False,exact_raw_email_match,R_PD_000007,R_BM_000003
NNEP-R0014,hello0@heritagebrandingshop.example,emh_b82a111b7a,Heritage Branding Shop,Northeast,11-25 employees,2,10,Informal/custom quote,9,Partial Pricing System,Real Labor,3,1,2,1,2,3,Somewhat confident,Broadly aligned,False,False,True,Frequently,Variable,False,exact_raw_email_match,R_PD_000014,R_BM_000004
NNEP-R0015,sales@cedarmonogramsllc.example,emh_364905e785,Cedar Monograms LLC,South,2-5 employees,6,2,Hybrid/job costing,4,Pricing Blind Spots,Capacity Pressure,1,1,2,0,0,1,Not confident,Broadly aligned,False,False,False,Rarely,Good,True,exact_raw_email_match,R_PD_000015,R_BM_000005
NNEP-R0020,office@hoopcustoms.example,emh_9ae713bc9f,Hoop Customs,South,6-10 employees,14,5,Stitch-count based,15,Partial Pricing System,Capacity Pressure,3,4,4,2,2,5,Very confident,Potentially overconfident,False,True,False,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000019,R_BM_000007
NNEP-R0025,info@threadstitchcocollecti.example,emh_c43c27dae5,Thread Stitch Co. Collective,West,6-10 employees,29,5,Stitch-count based,19,Strong Pricing System,Intended Profit,4,4,3,4,4,4,Confident,Broadly aligned,True,True,False,Rarely,Variable,False,exact_raw_email_match,R_PD_000024,R_BM_000008
NNEP-R0027,sales@crownwearablescompany.example,emh_75703e08c0,Crown Wearables Company,Midwest,Solo owner/operator,24,1,Value-based,18,Strong Pricing System,Intended Profit,4,4,3,4,3,3,Somewhat confident,Underconfident relative to diagnostic,True,True,True,Sometimes,Variable,True,normalized_email_match,R_PD_000026,R_BM_000009
NNEP-R0029,office@bobbinteamwearcompany.example,emh_eb15a6bac7,Bobbin Teamwear Company,Northeast,11-25 employees,32,8,Hybrid/job costing,20,Strong Pricing System,Production Cost,4,4,4,4,4,5,Very confident,Broadly aligned,True,True,False,Never,Struggling,False,exact_raw_email_match,R_PD_000028,R_BM_000010
NNEP-R0030,quotes@brightmonogramsgroup.example,emh_e01b6dc623,Bright Monograms Group,West,6-10 employees,1,10,Stitch-count based,11,Partial Pricing System,Capacity Pressure,3,2,2,1,3,2,Slightly confident,Broadly aligned,True,False,False,Frequently,Very strong,False,exact_raw_email_match,R_PD_000029,R_BM_000011
