Response ID,Start Date,End Date,Status,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Email,Business Name,Region,Business Size,Annual Revenue Band,Years in Business,Machine Count,Primary Business Model,Customer Mix,Current Pricing Method,Price Review Frequency,Q1: Calculate production/material cost before quoting,"Q2: Include thread, stabilizer, waste, and overhead in price",Q3: Track hands-on embroidery labor time,"Q4: Include admin, artwork, proofing, and customer time",Q5: Set intended profit target before pricing,Q6: Review margin after job completion,Q7: Adjust pricing for rush work or full schedule,Q8: Use capacity/backlog pressure in pricing decisions,"Q9: Consider customer value/use case, not only stitch count",Q10: Can explain price based on value delivered,Open Comment,_simulated_raw_issue
R_PD_000001,2026-03-18 11:48:13,03/18/26 11:51 AM,IP Address,100,202,True,"Mar 18, 2026 11:52 AM",web,English,office@lakesidedigitizing.example,Lakeside Digitizing,Northeast,one-person shop,About $50k-$100k,4 yrs,single head,Custom embroidery,Mixed,by stitch,once a year,We use a calculator/spreadsheet,Rough estimate,For larger jobs only,Partially,I have a basic spreadsheet,Depends on the job,I don't track this,No,Depends on the job,Not really,,clean
R_PD_000002,2026-02-08 18:22:36,2026-02-08 18:27:58,IP Address,100,322,Y,"Feb 08, 2026 06:29 PM",email,EN,owner@heritagecustomsgroup.example,HERITAGE CUSTOMS GROUP,Northeast,larger shop,$250k-$500k,27 yrs,12 heads,Custom embroidery,Mostly consumers,spreadsheet + stitch count,quarterly,Yes,We review and adjust,We use a calculator/spreadsheet,Built into our quote process,"Yes, documented",Yes,Yes,We review and adjust,We review and adjust,We review and adjust,Rush jobs are where we get into trouble.,clean
R_PD_000003,2026-05-10T22:19:13Z,"May 10, 2026 10:26 PM",IP Address,100,461,Y,05/10/2026 22:28,email,English,hello@lakesidedesignsstudio.example,Lakeside Designs Studio,South,small team,$500k-$1M,about 20,3,Custom embroidery,Mostly consumers,premium pricing,constantly,Always,Yes,Sometimes,Sometimes,Built into our quote process,We review and adjust,We review and adjust,Yes,Built into our quote process,We review and adjust,I need a better way to account for setup time.,clean
R_PD_000004,04/13/2026 16:34,04/13/26 04:41 PM,IP Address,100,399,True,2026-04-13T16:42:01Z,web,EN,office4@hoopmonogramscollectiv.example,Hoop Monograms Collective,West,2-5,About $50k-$100k,8 yrs,2 heads,Custom embroidery,Contract/B2B,by stitch,only when vendors raise prices,Partially,Partially,Rough estimate,Depends on the job,Sometimes,Not really,No,Not yet,For larger jobs only,Not really,I need a better way to account for setup time.,clean
R_PD_000005,2026-02-12T01:11:28Z,2026-02-12T01:20:03Z,IP Address,100,515,True,02/12/2026 01:20,anonymous,English, owner@lakesidecreativestudio.example ,Lakeside Creative Studio,Northeast,mid-size shop,1M+,10 years,3-head,,Schools/teams,premium pricing,if supplies go up,Depends on the job,Partially,Depends on the job,For larger jobs only,No,Depends on the job,I have a basic spreadsheet,Partially,Rough estimate,I have a basic spreadsheet,,clean
R_PD_000006,"Mar 20, 2026 06:22 PM",2026-03-20T18:36:57Z,IP Address,100,876,Complete,"Mar 20, 2026 06:38 PM",anonymous,English,contact6@oakembroiderycollectiv.example,Oak Embroidery Collective,Midwest,just me,$100k-$250k,since 2019,4 machines,Decorated apparel,Schools/teams,per 1000 stitches,every job,I have a basic spreadsheet,Always,Depends on the job,Built into our quote process,Depends on the job,We use a calculator/spreadsheet,For larger jobs only,We review and adjust,Depends on the job,For larger jobs only,We are trying to stop undercharging.,clean
R_PD_000007,04/21/26 04:12 PM,"Apr 21, 2026 04:18 PM",IP Address,100,360,Y,04/21/2026 16:20,anonymous,EN,hello0@ironapparelgroup.example,Iron Apparel Group,Northeast,11-25 employees,About $500k-$1M,26,12 heads,Promotional products,Small business/local orgs,cost plus profit,yearly,"Yes, documented",We review and adjust,We use a calculator/spreadsheet,Rough estimate,We use a calculator/spreadsheet,Yes,Yes,Sometimes,"Yes, documented",Yes,,clean
R_PD_000008,05/02/2026 09:41,2026-05-02 09:49:49,IP Address,100,498,TRUE,05/02/2026 09:49,anonymous,en-US,quotes1+nnep@summitlogoshop.example,Summit Logo Shop,South,2-5 employees,50k-100k,7 years,3 heads,Mixed services,Mostly consumers,cost+margin,only when vendors raise prices,Built into our quote process,Built into our quote process,Partially,Always,Sometimes,I have a basic spreadsheet,Partially,Rough estimate,"Yes, documented",We use a calculator/spreadsheet,Rush jobs are where we get into trouble.,clean
R_PD_000009,"May 31, 2026 10:50 AM",05/31/2026 10:58,IP Address,100,432,TRUE,2026-05-31T10:58:43Z,newsletter,en-US,owner@blueridgelogoshopstudi.example,Blue Ridge Logo Shop Studio,,6-10 employees,1M+,26 years,3-head,Custom embroidery,Mixed,spreadsheet + stitch count,quarterly,We use a calculator/spreadsheet,"Yes, documented",Built into our quote process,Yes,We review and adjust,For larger jobs only,Always,Depends on the job,I have a basic spreadsheet,"Yes, documented",We are trying to stop undercharging.,clean
R_PD_000010,05/22/2026 13:46,2026-05-22 13:55:50,IP Address,100,566,Y,05/22/26 01:56 PM,anonymous,English,info@sunrisethreadsgroup.example,Sunrise Threads Group,Northeast,6-10 employees,$250k-$500k,since 2012,two,Custom embroidery,Corporate/commercial,premium pricing,4x a year,Yes,Built into our quote process,Yes,I have a basic spreadsheet,"Yes, documented",Yes,We use a calculator/spreadsheet,For larger jobs only,Depends on the job,We use a calculator/spreadsheet,I need a better way to account for setup time.,clean
